date,sentiment
2016-10-09 15:30:06,-0.25
2016-10-09 15:25:12,1
2016-10-09 15:21:37,0
2016-10-09 15:11:00,0.125
2016-10-07 21:36:22,-0.25
2016-10-07 20:15:33,0
2016-10-07 17:11:37,0
2016-10-07 16:28:51,0.375
2016-10-07 02:29:23,0
2016-10-07 02:27:57,0.375
2016-10-06 01:51:49,1.875
2016-10-06 01:31:58,0.5
2016-10-05 20:01:24,0.5
2016-10-05 07:19:03,0.25
2016-10-05 07:07:05,-0.25
2016-10-05 03:50:58,0
2016-10-04 17:30:06,0
2016-10-04 16:45:08,-0.75
2016-10-03 21:19:12,1.125
2016-10-03 15:09:32,0.625
2016-10-02 22:04:14,0.75
2016-10-02 19:39:16,-0.75
2016-10-02 18:21:01,0
2016-10-02 18:09:17,-0.25
2016-10-02 18:06:26,1
2016-10-02 17:55:02,-0.5
2016-10-02 17:52:07,0
2016-10-02 02:41:06,0
2016-10-01 21:23:37,0
2016-10-01 20:55:11,0.625
2016-10-01 02:25:25,0
2016-10-01 02:22:54,0
2016-09-29 02:42:55,0.375
2016-09-28 22:47:08,-0.75
2016-09-28 19:06:04,1.125
2016-09-28 19:04:50,1
2016-09-28 18:59:22,0.75
2016-09-28 17:39:29,0.625
2016-09-28 04:36:01,0
2016-09-27 23:16:33,0
2016-09-27 22:44:36,0
2016-09-27 21:54:59,0
2016-09-27 21:52:39,0
2016-09-27 18:37:41,0.25
2016-09-27 18:09:01,0
2016-09-27 17:55:27,0
2016-09-27 17:45:52,0
2016-09-27 03:21:13,0
2016-09-26 19:38:11,0
2016-09-26 16:50:30,0
2016-09-26 15:07:10,0
2016-09-26 06:41:16,0
2016-09-26 06:40:42,0.75
2016-09-26 06:21:14,0.625
2016-09-26 06:13:00,0.25
2016-09-26 05:38:48,-0.75
2016-09-26 05:32:26,0
2016-09-26 05:18:07,0.625
2016-09-23 23:25:16,0
2016-09-23 23:16:45,0.5
2016-09-22 17:04:33,0.375
2016-09-22 16:56:23,0
2016-09-22 16:31:43,-0.375
2016-09-22 16:24:58,0.875
2016-09-22 08:10:05,0
2016-09-22 01:57:08,0.75
2016-09-21 16:09:38,-0.375
2016-09-21 16:00:01,-0.375
2016-09-21 15:59:02,-0.75
2016-09-21 15:58:19,-0.5
2016-09-21 15:55:24,0.5
2016-09-21 14:38:54,0
2016-09-21 14:36:13,0
2016-09-21 14:32:02,0.375
2016-09-21 14:29:27,1.875
2016-09-21 14:21:50,0.375
2016-09-21 14:20:37,-0.125
2016-09-19 21:38:31,0.25
2016-09-18 02:14:51,0
2016-09-18 01:57:07,0
2016-09-17 06:13:16,0
2016-09-17 02:32:00,0.25
2016-09-17 01:45:20,0.25
2016-09-17 01:44:17,0
2016-09-17 01:43:30,-0.625
2016-09-17 01:36:24,0.625
2016-09-17 01:29:28,0.25
2016-09-17 00:22:19,0.625
2016-09-16 21:30:18,0
2016-09-16 16:57:57,0
2016-09-16 07:16:28,-0.5
2016-09-16 07:05:40,0.375
2016-09-16 07:03:02,-0.25
2016-09-16 04:42:56,0.25
2016-09-16 04:42:23,0
2016-09-16 03:28:01,-0.25
2016-09-16 03:26:40,-0.25
2016-09-16 03:21:28,-1.125
2016-09-13 22:18:30,-1.5
2016-09-13 22:14:09,0.875
2016-09-13 16:26:31,0
2016-09-13 09:50:27,0.5
2016-09-11 19:30:12,-0.375
2016-09-11 19:18:28,-0.625
2016-09-10 17:44:46,0.125
2016-09-09 20:02:37,0.375
2016-09-09 16:22:53,0.625
2016-09-09 14:45:08,1.375
2016-09-09 08:01:06,0.375
2016-09-09 08:00:09,-0.375
2016-09-09 07:58:19,0
2016-09-09 07:53:54,1.125
2016-09-09 07:46:43,0
2016-09-09 07:39:46,0
2016-09-09 07:38:53,-1.25
2016-09-09 04:26:56,-0.875
2016-09-01 22:48:38,0.25
2016-09-01 20:34:05,0
2016-09-01 17:07:54,0.375
2016-08-31 15:43:00,0
2016-08-31 15:27:35,0
2016-08-31 15:25:12,0
2016-08-31 15:23:36,0
2016-08-31 15:20:27,0
2016-08-30 17:37:57,0.625
2016-08-30 14:29:42,0.75
2016-08-29 17:47:18,-0.25
2016-08-29 14:43:06,0.375
2016-08-28 01:24:53,0
2016-08-28 00:46:04,0.25
2016-08-28 00:19:29,0
2016-08-24 15:41:48,-0.125
2016-08-24 02:00:58,-1.125
2016-08-24 01:59:07,0
2016-08-23 19:02:10,0
2016-08-23 15:23:03,0
2016-08-22 13:01:45,-0.25
2016-08-16 19:43:13,0
2016-08-16 19:40:42,-0.375
2016-08-16 19:34:43,0.5
2016-08-16 18:03:17,0
2016-08-15 09:01:13,-0.625
2016-08-14 20:06:36,-0.25
2016-08-14 17:53:31,-0.875
2016-08-14 05:38:07,-0.25
2016-08-13 17:25:11,0.25
2016-08-11 11:33:00,0.875
2016-08-11 10:25:56,0.75
2016-08-10 17:27:50,-0.25
2016-08-10 08:00:29,0.5
2016-08-10 06:49:10,0
2016-08-09 21:16:28,0
2016-08-09 20:24:20,0.75
2016-08-09 19:36:52,-0.25
2016-08-09 16:07:05,0.25
2016-08-07 01:27:53,-0.125
2016-08-07 00:21:10,0.5
2016-08-01 16:00:22,-0.25
2016-07-31 17:09:20,-0.125
2016-07-31 17:05:17,-1.5
2016-07-30 16:59:18,0.875
2016-07-30 16:28:05,0.5
2016-07-30 16:23:51,0
2016-07-30 15:52:05,0.25
2016-07-30 15:40:05,-0.5
2016-07-30 15:39:15,-0.875
2016-07-30 04:41:04,0
2016-07-29 22:26:21,0.625
2016-07-29 22:07:25,0.5
2016-07-29 18:59:12,0
2016-07-29 08:34:04,0.125
2016-07-29 04:15:08,0
2016-07-29 02:26:18,0.5
2016-07-28 07:19:57,0
2016-07-27 19:10:45,0
